country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
CANADA,8100151,EVRAZ REGINA STEEL,6,0,4570,"REGINA, SK",50.5177785,-104.6311497,Exact,CAN0015
CANADA,8100161,HAMILTON SPECIALTY BAR (2007) INC,4,0,1635,"HAMILTON, ONT",43.2612528,-79.8365135,Exact,CAN0016
CANADA,8100171,ARCELORMITTAL COTEAU-DU-LAC INC,1,0,225,"COTEAU-DU-LAC, QC",45.3009582,-74.2033878,Exact,CAN0017
CANADA,8100182,GERDAU,1,0,270,"CAMBRIDGE, ONT",43.370903,-80.280806,Exact,CAN0018
CANADA,8100191,ARCELORMITTAL DOFASCO WINDSOR,1,0,380,"WINDSOR, ONT",42.3149367,-83.0363633,Exact,CAN0019
CANADA,8100211,ARCELORMITTAL MONTREAL,4,0,2200,"CONTRECOEUR-WEST, QC",45.8654102,-73.2412826,Approximate,CAN0020
CANADA,8100221,ALBERTA STEEL (SCAW METALS GROUP),3,0,870,"EDMONTON, ALBERTA",53.544389,-113.4909267,Approximate,CAN0021
CANADA,8100232,WABUSH MINES,1,0,5700,"POINTE NOIRE-Septlies, QC",50.1597141,-66.5055452,Exact,CAN0022
CANADA,8100241,BAYCOAT,3,0,270,"HAMILTON, ONT",43.2410317,-79.7493317,Exact,CAN0023
CANADA,8100251,FINKL STEEL,3,0,216,"SOREL, QC",46.0457262,-73.1265563,Exact,CAN0024
CANADA,8100261,U.S. STEEL CANDA INC,6,1,12220,"NANTICOKE, ONT",42.8212128,-80.091697,Exact,CAN0025
CANADA,8100271,QUEBEC METAL POWDERS,2,0,280,"SOREL-TRACY, QC",46.042825,-73.112302,Exact,CAN0026
CANADA,8100282,NELSON STEEL,3,0,920,"STONEY-CREEK, ONT",43.2237744,-79.6762818,Exact,CAN0027
CANADA,8100291,U.S. STEEL CANDA INC,3,0,1200,"NANTICOKE, ONT",42.80907,-80.082283,Approximate,CAN0028
CANADA,8100321,MAX AICHER NORTH AMERICA,3,0,2980,"HAMILTON, ONT",43.2668002,-79.8245146,Exact,CAN0029
CANADA,8100331,SOCIETE INT. METALLIQUE,1,0,2000,"BECANCOUR, QC",46.3506215,-72.4350552,Approximate,CAN0030
MEXICO,8200011,ACEROS NACIONALES SA,1,0,230,TLALNEPANTLA,19.5345279,-99.1907364,Approximate,MEX0001
