uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0868,36.167804,114.065663,,3,Integrated,Dry,160432.5090431226,167839.3912765341,183489.82358675278,350.7065471693653,351.0615441398693,362.8887589118762
CHN0869,43.601215,118.721365,,3,Grinding,Wet,120951.41070331169,113971.41272979218,146104.26288412407,0.0,0.0,0.0
CHN0870,41.95505,126.562648,,3,Integrated,Dry,250939.57827929428,274411.0941532308,280164.82239587983,296.0329216352095,243.0984608196596,448.1412512410605
CHN0871,34.474894,107.771682,,3,Integrated,Dry,263521.867640055,262338.7242487627,268465.9846338534,418.3511458143082,439.7936869112475,473.71496470312354
CHN0872,25.07279,99.286018,,3,Integrated,Dry,385586.24048739835,303471.623748976,610909.2550787873,268.6217079856746,240.75909504132989,358.02309033022976
CHN0873,41.879263,110.106906,,3,Integrated,Dry,471730.5716335741,476468.04292964033,481579.5367150398,408.1016635046684,408.35927417978445,469.19661212223406
CHN0874,40.69951,109.782331,,3,Grinding,Wet,108059.03994384556,125045.29838418224,130307.04352133593,0.0,0.0,0.0
CHN0875,40.654653,108.794004,,3,Grinding,Wet,59312.817454976765,60937.27743082994,61155.561590571946,0.0,0.0,0.0
CHN0876,32.405777,106.770057,,3,Integrated,Dry,142462.36732282524,144302.04192687312,154150.11501606653,375.07926848362985,391.2085911014783,395.2334457821038
CHN0877,32.782547,117.174059,,3,Integrated,Dry,390316.8417702762,323339.0279849957,538936.4618491761,327.17693597488284,328.33106016196126,332.5689317468378
CHN0878,37.479161,117.997209,,3,Grinding,Wet,103883.19661129809,115612.22991637577,122590.65372296743,0.0,0.0,0.0
CHN0879,35.206282,113.109157,,3,Integrated,Dry,296811.6286786708,330896.7758928354,335187.9971763473,261.75657471121497,272.5306667945265,276.7258558177306
CHN0880,41.049244,120.975971,,3,Grinding,Wet,310452.2882574517,269933.3828090908,413119.05188663834,0.0,0.0,0.0
CHN0881,44.755208,82.071995,,2,Grinding,Dry,210437.5626139707,210437.5626139707,233158.08492296623,0.0,0.0,0.0
CHN0882,34.990091,115.551654,,2,Grinding,Wet,92406.36575718719,92406.36575718719,93381.14225131161,0.0,0.0,0.0
CHN0883,36.700608,118.896355,,3,Integrated,Dry,174178.66757819796,195375.7284845856,200412.57181697662,153.5791477489438,230.1375405766437,230.59990267018773
CHN0884,39.750306,118.799837,,3,Integrated,Dry,253136.07397158997,304693.9180176462,328487.81513239985,266.6268139927698,269.02895514903,297.3239198130154
CHN0885,28.43444,104.844946,,3,Integrated,Dry,197548.02997201154,196514.384028071,235081.51871333065,422.8544938272413,431.07779702208603,450.8937603320168
